species,genus,subfamily,family,order,class_taxon,super_class,ocean,basin,food_i,food_mode,temp_preferred,temp_range,climate,fecundity_mean,body_shape_i,longevity_wild,oxygen_cons,temp_cons,dev_place,sp_richness,comments,circadian,observed_homerange,n_ind,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,iucn_category,predicted_homerange,predicted_pld,observed_pld,home_range,pld,magnitude_homerange,month_pld,class,class2,class3
Merluccius australis,Merluccius,NA,Merlucciidae,Gadiformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Pacific",Both,nekton,specialist,9,NA,tropical,NA,elongated,30,NA,NA,NA,17,NA,NA,NA,NA,1232500,migratory,benthopelagic,155,NA,458081.8423,0.056425285,4.435308019,NA,0.097555435,56.26501974,NA,0.097555435,56.26501974,-2,2,1,8,mid-low/mid
Merluccius bilinearis,Merluccius,NA,Merlucciidae,Gadiformes,Actinopteri,Osteichthyes,Atlantic,West,"nekton, zoobenthos, zooplankton",generalist,7,NA,subtropical,NA,elongated,12,NA,NA,planktonic,17,NA,NA,NA,NA,925000,migratory,demersal,76,NA,492540.1862,0.154190389,4.49,NT,0.047046922,39.3400835,NA,0.047046922,39.3400835,-2,2,1,8,mid-low/mid
Merluccius capensis,Merluccius,NA,Merlucciidae,Gadiformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean",Both,"nekton, zoobenthos, zooplankton",generalist,17,NA,tropical,NA,elongated,NA,NA,NA,NA,17,NA,NA,NA,NA,535000,migratory,bathydemersal,140,NA,5521057.483,0.137980456,3.902875212,LC,0.197837728,69.73397761,NA,0.197837728,69.73397761,-1,3,3,3,mid/mid-high
Merluccius hubbsi,Merluccius,NA,Merlucciidae,Gadiformes,Actinopteri,Osteichthyes,Atlantic,West,"nekton, zoobenthos, zooplankton",generalist,12,NA,subtropical,NA,elongated,6,NA,NA,NA,17,NA,NA,NA,NA,1412500,migratory,benthopelagic,95,NA,4226135.199,0.227029036,4.229807638,NA,0.091042642,45.42632497,NA,0.091042642,45.42632497,-2,2,1,8,mid-low/mid
Merluccius merluccius,Merluccius,NA,Merlucciidae,Gadiformes,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,"detritus, nekton, others, plants, zoobenthos, zooplankton",generalist,19,NA,subtropical,898738.7352941176,elongated,20,NA,NA,planktonic,17,NA,NA,NA,NA,2487500,habitat_deep,demersal,140,NA,185465.2204,0.310269594,4.42,LC,0.254244193,34.48362057,NA,0.254244193,34.48362057,-1,2,1,1,mid-high/mid
Merluccius polli,Merluccius,NA,Merlucciidae,Gadiformes,Actinopteri,Osteichthyes,Atlantic,East,nekton,specialist,25,NA,subtropical,NA,elongated,NA,NA,NA,NA,17,NA,NA,NA,NA,630000,habitat_deep,bathydemersal,80,NA,13025.87948,0.234269326,4.482012652,LC,0.038940547,32.92391413,NA,0.038940547,32.92391413,-2,2,1,8,mid-low/mid
Merluccius productus,Merluccius,NA,Merlucciidae,Gadiformes,Actinopteri,Osteichthyes,Pacific,Both,"nekton, zoobenthos, zooplankton",generalist,14,NA,subtropical,220750,elongated,16,NA,NA,planktonic,17,"Inhabit oceanic and coastal areas, but mainly on the continental shelf (Ref. 1371).  Although often classified as demersal, the distribution and behavior suggest a largely pelagic existence (Ref. 1371).  Adults live in large schools in waters overlying the continental shelf and slope except during the spawning season when they are found several hundred miles seaward (Ref. 1371).  A nocturnal feeder (Ref. 6885) that  feed on a variety of fishes and invertebrates (Ref. 1371).  Important prey for sea lions and small cetaceans (Ref. 2850); also prey of dogfish (Ref. 11384).",nocturnal,NA,NA,960000,migratory,pelagic neritic,91,NA,7061680.778,0.12010337,4.35,LC,0.050182276,90.33298378,88,0.050182276,88,-2,3,3,3,mid/mid-high
Merluccius senegalensis,Merluccius,NA,Merlucciidae,Gadiformes,Actinopteri,Osteichthyes,Atlantic,East,nekton,specialist,20,NA,subtropical,NA,elongated,NA,NA,NA,NA,17,NA,NA,NA,NA,47500,migratory,demersal,81,NA,301939.4071,0.196314064,4.482012652,EN,0.02007377,29.48063558,NA,0.02007377,29.48063558,-2,1,4,4,mid/low
Meuschenia scaber,Meuschenia,NA,Monacanthidae,Tetraodontiformes,Actinopteri,Osteichthyes,"Indian Ocean, Pacific",Both,NA,NA,15,NA,tropical,NA,short and / or deep,NA,NA,NA,NA,108,NA,NA,NA,NA,1115000,habitat_coastal,demersal,31,NA,1370.926443,1.031915321,3.11,LC,0.001178528,37.05345758,NA,0.001178528,37.05345758,-3,2,1,8,mid-low/mid
Microgadus tomcod,Microgadus,NA,Gadidae,Gadiformes,Actinopteri,Osteichthyes,Atlantic,West,"nekton, zoobenthos",generalist,7,NA,subtropical,NA,elongated,NA,NA,NA,NA,22,NA,NA,NA,NA,632500,habitat_coastal,demersal,38.09999847,NA,1410.13149,0.46107757,3.837488727,LC,0.024128282,28.13631943,NA,0.024128282,28.13631943,-2,1,4,4,mid/low
Micromesistius australis,Micromesistius,NA,Gadidae,Gadiformes,Actinopteri,Osteichthyes,"Atlantic, Pacific",Both,"zoobenthos, zooplankton",generalist,9,NA,subtropical,NA,elongated,30,NA,NA,NA,22,NA,NA,NA,NA,1522500,migratory,benthopelagic,90,NA,1601295.203,0.138834909,3.398465184,NA,0.13109578,59.17493886,NA,0.13109578,59.17493886,-1,2,1,1,mid-high/mid
Micromesistius poutassou,Micromesistius,NA,Gadidae,Gadiformes,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",Both,"nekton, zoobenthos, zooplankton",generalist,14,NA,subtropical,72000,elongated,20,NA,NA,planktonic,22,NA,NA,NA,NA,11370000,migratory,bathypelagic,55.5,NA,2238132.139,0.264956898,4.13,NA,0.733445201,36.73270658,7.75,0.733445201,7.75,-1,1,4,4,mid/low
Micropogonias furnieri,Micropogonias,NA,Sciaenidae,Eupercaria/misc,Actinopteri,Osteichthyes,Atlantic,West,"detritus, nekton, zoobenthos, zooplankton",generalist,22,NA,subtropical,NA,short and / or deep,7,NA,NA,NA,293,NA,NA,NA,NA,2195000,habitat_coastal,demersal,60,NA,227203.5195,0.541310594,3.09,LC,0.15125119,36.18331935,NA,0.15125119,36.18331935,-1,2,1,1,mid-high/mid
Micropogonias undulatus,Micropogonias,NA,Sciaenidae,Eupercaria/misc,Actinopteri,Osteichthyes,Atlantic,Both,zooplankton,specialist,25,NA,subtropical,NA,fusiform / normal,5,869.40002,25,planktonic,293,NA,NA,NA,NA,2317500,habitat_coastal,demersal,55,NA,44582.67097,0.873782776,4.014966329,LC,0.130231271,37.65907527,NA,0.130231271,37.65907527,-1,2,1,1,mid-high/mid
Microstomus kitt,Microstomus,Microstominae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,Atlantic,Both,zoobenthos,specialist,4,NA,subtropical,135097,short and / or deep,23,90.71833333333333,10,planktonic,66,NA,NA,NA,NA,1532500,habitat_benthic,demersal,65,NA,286647.3621,0.12105525,3.27703314,NA,0.112883998,63.98545434,NA,0.112883998,63.98545434,-1,3,3,3,mid/mid-high
Microstomus pacificus,Microstomus,Microstominae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,Pacific,Both,zoobenthos,specialist,9,NA,subtropical,80074.5,short and / or deep,56,NA,NA,planktonic,66,NA,NA,NA,NA,1172500,habitat_benthic,demersal,76,NA,565172.0037,0.089528983,3.22,NA,0.088960732,66.9880345,NA,0.088960732,66.9880345,-2,3,3,3,mid/mid-high
Molva dypterygia,Molva,NA,Lotidae,Gadiformes,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",Both,"nekton, zoobenthos, zooplankton",generalist,5,NA,subtropical,NA,elongated,20,NA,NA,NA,5,NA,NA,NA,NA,2642500,habitat_benthic,demersal,155,NA,190950.5942,0.12236097,4.49,NA,0.117665541,54.109158,NA,0.117665541,54.109158,-1,2,1,1,mid-high/mid
Molva molva,Molva,NA,Lotidae,Gadiformes,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",Both,"nekton, others, zoobenthos, zooplankton",generalist,14,NA,subtropical,20000000,elongated,25,NA,NA,planktonic,5,NA,NA,NA,NA,1615000,habitat_benthic,demersal,200,NA,1109512.435,0.111647026,4.4,NA,0.095289276,57.46982067,NA,0.095289276,57.46982067,-2,2,1,8,mid-low/mid
Monotaxis grandoculis,Monotaxis,Monotaxinae,Lethrinidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Indian Ocean, Mediterranean and Black Sea, Pacific",Both,zoobenthos,specialist,28,NA,tropical,NA,fusiform / normal,NA,NA,NA,NA,42,NA,NA,NA,NA,11135000,habitat_reef,reef-associated,60,NA,113.7729425,0.551484374,3.37,LC,0.077382682,30.82227147,33.3,0.077382682,33.3,-2,2,1,8,mid-low/mid
Mora moro,Mora,NA,Moridae,Gadiformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Mediterranean and Black Sea, Pacific",Both,"nekton, zoobenthos",generalist,24,NA,tropical,NA,fusiform / normal,NA,NA,NA,planktonic,108,NA,NA,NA,NA,56435000,deep,bathypelagic,80,NA,10677.45905,0.146467431,3.781443168,LC,0.833542716,53.38755738,NA,0.833542716,53.38755738,-1,2,1,1,mid-high/mid
Morone saxatilis,Morone,NA,Moronidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,20,17,subtropical,931500,fusiform / normal,30,359.13948579545456,16.931818181818183,NA,6,NA,NA,7.78,214,565000,habitat_coastal,demersal,200,striped bass,27392.2621,0.255328822,4.65,LC,0.118509869,41.47444718,33,7.78,33,0,2,1,1,mid-high/mid
Mugil cephalus,Mugil,NA,Mugilidae,Mugiliformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Mediterranean and Black Sea, Pacific",Both,"detritus, plants, zoobenthos, zooplankton",generalist,26,16,tropical,1119274.5,fusiform / normal,16,200.32789486842105,21.178947368421053,planktonic,78,"Adults are found in coastal waters (Ref. 2850, 44894, 57400), often entering estuaries and rivers (Ref. 2847, 3573, 11230, 44894, 57400), sometimes far-up-river, lagoons and hypersaline environments (Ref. 57400).  They are usually in schools over sand or mud bottom (Ref. 2850), between 0 and 10 m, occurring equally in tropical, subtropical and temperate waters (Project MUGIL).  They are mainly diurnal, feeding on detritus, micro-algae and benthic organisms (Ref. 56548, 74902, 74760).  Juveniles feed on zooplankton until about 3.0 cm SL (Ref. 59043).  Reproduction takes place at sea, at various times of the year depending on the location (Ref. 74907, Amour).  Adults form schools and migrate offshore to spawn and developing larvae migrate back inshore (Ref. 81659). There is absence of an obligatory freshwater phase in the life cycle (Ref. 74752).   Females spawn 0.8 to 2.6 million eggs which develop at sea (Ref. 74912, Chen & Su 1986).  Sexually mature at 3 to 4 years (Ref. 74902).  Maximum length reported as 120 cm SL (Ref. 7399, 57400, 81659) remains to be confirmed (Project MUGIL).  Maximum weight reported as 12 kg (Ref. 56527) seems too high for the area and remains to be confirmed (Project MUGIL).  Widely cultivated in freshwater and brackish ponds (Ref. 2847, Jackson 1984, Liao 1981).  Marketed fresh, dried, salted, and frozen; roe sold fresh or smoked (Ref. 9321); also used in Chinese medicine (Ref. 12166).",diurnal,NA,NA,15862500,habitat_coastal,benthopelagic,100,NA,609274.372,0.277257899,2.59514551,LC,1.433956254,53.81228278,NA,1.433956254,53.81228278,0,2,1,1,mid-high/mid
Mugil curema,Mugil,NA,Mugilidae,Mugiliformes,Actinopteri,Osteichthyes,"Atlantic, Pacific",Both,"detritus, nekton, others, plants, zoobenthos, zooplankton",generalist,NA,NA,tropical,301200,fusiform / normal,NA,289.15,20,planktonic,78,NA,NA,NA,NA,5337500,habitat_coastal,reef-associated,91,NA,5777.702193,0.519755415,2.01,LC,0.152888743,36.11530305,NA,0.152888743,36.11530305,-1,2,1,1,mid-high/mid
Nematalosa nasus,Nematalosa,Dorosomatinae,Clupeidae,Clupeiformes,Actinopteri,Osteichthyes,"Indian Ocean, Pacific",Both,"detritus, others, plants, zoobenthos, zooplankton",generalist,25,NA,tropical,NA,fusiform / normal,NA,NA,NA,NA,188,NA,NA,NA,NA,3562500,habitat_coastal,pelagic neritic,25.5,NA,1490.27369,1.124180083,2.342940496,LC,0.001355078,42.2416669,NA,0.001355078,42.2416669,-3,2,1,8,mid-low/mid
Mugil liza,Mugil,NA,Mugilidae,Mugiliformes,Actinopteri,Osteichthyes,Atlantic,West,"detritus, plants",generalist,25,NA,subtropical,NA,fusiform / normal,NA,NA,NA,NA,78,NA,NA,NA,NA,2622500,migratory,demersal,80,NA,12098.99119,0.477722143,2.146781041,DD,0.198208241,35.17740677,NA,0.198208241,35.17740677,-1,2,1,1,mid-high/mid
Mulloidichthys flavolineatus,Mulloidichthys,NA,Mullidae,Mulliformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,27,NA,tropical,NA,fusiform / normal,NA,NA,NA,planktonic,100,NA,NA,0.0054,4,11047500,habitat_reef,reef-associated,43,white goatfish,351.503561,0.798341841,3.84,LC,0.053492931,43.07198643,60.1,0.0054,60.1,-3,3,3,3,mid/mid-high
Mullus argentinae,Mullus,NA,Mullidae,Mulliformes,Actinopteri,Osteichthyes,Atlantic,West,"zoobenthos, zooplankton",generalist,19,NA,subtropical,NA,fusiform / normal,NA,NA,NA,NA,100,NA,NA,NA,NA,310000,habitat_benthic,demersal,30,NA,600.969623,0.776864557,3.501215375,NA,4.34e-4,46.10149566,NA,4.34e-4,46.10149566,-4,2,7,7,low/mid
Mullus barbatus,Mullus,NA,Mullidae,Mulliformes,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,"detritus, nekton, plants, zoobenthos, zooplankton",generalist,18,NA,subtropical,33000,fusiform / normal,NA,NA,NA,planktonic,100,NA,NA,NA,NA,727500,habitat_benthic,demersal,38.20000076,NA,3400.603392,0.68,3.14,NA,0.027937815,43.89714241,NA,0.027937815,43.89714241,-2,2,1,8,mid-low/mid
Mullus surmuletus,Mullus,NA,Mullidae,Mulliformes,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,"detritus, nekton, plants, zoobenthos, zooplankton",generalist,19,NA,subtropical,NA,fusiform / normal,11,NA,NA,planktonic,100,NA,NA,NA,NA,2882500,habitat_benthic,demersal,40,NA,17341.66403,0.656087269,3.45,LC,0.071708838,42.84954298,30.1,0.071708838,30.1,-2,2,1,8,mid-low/mid
Muraenesox cinereus,Muraenesox,NA,Muraenesocidae,Anguilliformes,Actinopteri,Osteichthyes,"Indian Ocean, Mediterranean and Black Sea, Pacific",Both,"nekton, zoobenthos",generalist,28,NA,tropical,1897.5,fusiform / normal,15,NA,NA,planktonic,15,NA,NA,NA,NA,6977500,sedentary,demersal,220,NA,4874752.99,0.409229387,4.369921534,NA,0.474039585,49.24933984,NA,0.474039585,49.24933984,-1,2,1,1,mid-high/mid
Mycteroperca microlepis,Mycteroperca,Epinephelinae,Serranidae,Perciformes/Serranoidei,Actinopteri,Osteichthyes,Atlantic,West,"nekton, plants, zoobenthos, zooplankton",generalist,24,NA,subtropical,1238517.75,fusiform / normal,31,NA,NA,planktonic,577,NA,NA,0.0034,5,1780000,habitat_reef,reef-associated,145,gag,14127.2321,0.176804061,3.65,VU,0.159129657,39.73844218,43,0.0034,43,-3,2,1,8,mid-low/mid
Mycteroperca phenax,Mycteroperca,Epinephelinae,Serranidae,Perciformes/Serranoidei,Actinopteri,Osteichthyes,Atlantic,Both,nekton,specialist,22,NA,subtropical,NA,fusiform / normal,21,NA,NA,NA,577,NA,NA,NA,NA,1627500,habitat_reef,reef-associated,107,NA,154.0661309,0.21559573,4.47,DD,0.03346801,33.5637568,NA,0.03346801,33.5637568,-2,2,1,8,mid-low/mid
Myzopsetta ferruginea,Myzopsetta,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,Atlantic,West,"nekton, zoobenthos, zooplankton",generalist,7,NA,subtropical,NA,short and / or deep,12,NA,NA,planktonic,66,NA,NA,NA,NA,1120000,habitat_benthic,demersal,64,NA,89150.52797,0.326508332,3.28,NA,0.165802442,59.03199681,NA,0.165802442,59.03199681,-1,2,1,1,mid-high/mid
Naso unicornis,Naso,Nasinae,Acanthuridae,Acanthuriformes,Actinopteri,Osteichthyes,"Indian Ocean, Pacific",Both,"plants, zooplankton",generalist,28,3,tropical,NA,short and / or deep,54.5,NA,NA,planktonic,84,"Adults inhabit channels, moats, lagoon and seaward reefs with strong surge (Ref. 48637).  Benthopelagic (Ref. 58302).  Typically occurring in small groups. Sometimes solitary (Ref. 90102). Juveniles in shallow protected bays and harbours (Ref. 48637).  Mainly diurnal, feed on coarse leafy brown algae like <i>Sargassum</i>.  Pair-spawning has been observed.",diurnal,0.0321,7,11817500,habitat_reef,reef-associated,70,bluespine unicornfish,2152.086384,0.337334043,2.30557679,LC,0.931325766,54.18047184,73.9,0.0321,73.9,-2,3,3,3,mid/mid-high
Naucrates ductor,Naucrates,Naucratinae,Carangidae,Carangiformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Mediterranean and Black Sea, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,NA,NA,tropical,NA,fusiform / normal,NA,7350.46,23,planktonic,148,NA,NA,NA,NA,23690000,pelagic oceanic,reef-associated,70,NA,67.96813996,1.064734154,3.463851669,LC,0.765416895,32.49417099,NA,0.765416895,32.49417099,-1,2,1,1,mid-high/mid
Nemipterus japonicus,Nemipterus,NA,Nemipteridae,Eupercaria/misc,Actinopteri,Osteichthyes,"Indian Ocean, Mediterranean and Black Sea, Pacific",Both,"detritus, nekton, zoobenthos",generalist,28,NA,tropical,33345.875,fusiform / normal,8,NA,NA,NA,72,NA,NA,NA,NA,7565000,habitat_benthic,demersal,32,NA,31278.90158,1.261848147,4.127057447,NA,0.001182042,60.80191858,NA,0.001182042,60.80191858,-3,3,3,3,mid/mid-high
Nemipterus virgatus,Nemipterus,NA,Nemipteridae,Eupercaria/misc,Actinopteri,Osteichthyes,"Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,27,NA,tropical,24000,fusiform / normal,NA,NA,NA,planktonic,72,NA,NA,NA,NA,5732500,habitat_benthic,demersal,35,NA,22906.75869,0.957144758,4.005625403,VU,0.003031782,50.12843893,NA,0.003031782,50.12843893,-3,2,1,8,mid-low/mid
Normanichthys crockeri,Normanichthys,NA,Normanichthyidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,Pacific,East,"nekton, plants, zooplankton",generalist,17,NA,subtropical,NA,fusiform / normal,NA,NA,NA,NA,1,NA,NA,NA,NA,267500,habitat_coastal,demersal,11,NA,260047.4754,0.459478193,2.847350524,NA,8.87e-4,38.20124219,NA,8.87e-4,38.20124219,-4,2,7,7,low/mid
Ocyurus chrysurus,Ocyurus,Lutjaninae,Lutjanidae,Eupercaria/misc,Actinopteri,Osteichthyes,Atlantic,West,"nekton, zoobenthos, zooplankton",generalist,26,NA,subtropical,NA,fusiform / normal,14,NA,NA,planktonic,113,"Adults inhabit coastal waters, mostly around coral reefs.  Usually seen well above the bottom, frequently in aggregations.  They feed on a combination of plankton and benthic animals including fishes, crustaceans, worms, gastropods and cephalopods, mainly at night (Ref. 9987).  Young individuals are usually found over weed beds.  They feed primarily on plankton (Ref. 9710).  Spawning occurs throughout the year, with peaks at different times in different areas (Ref. 26938).  Marketed fresh and frozen (Ref. 9987).  Has been reared in captivity (Ref. 35420).",nocturnal,4.17,4,2962500,habitat_reef,reef-associated,86.30000305,yellowtail snapper,106024.5437,0.47392585,4.03,DD,0.238323276,31.80770615,30.9,4.17,30.9,0,2,1,1,mid-high/mid
Oblada melanurus,Oblada,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,"zoobenthos, zooplankton",generalist,24,NA,subtropical,225501,fusiform / normal,NA,NA,NA,planktonic,162,NA,NA,NA,NA,1805000,habitat_reef,benthopelagic,36.59999847,NA,6862.353238,0.430882512,3.43582889,LC,0.018719801,23.06468281,16,0.018719801,16,-2,1,4,4,mid/low
Oncorhynchus gorbuscha,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopteri,Osteichthyes,"Arctic Ocean, Atlantic, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,3,NA,subtropical,371,fusiform / normal,3,1188.09998,15,in close association with substrate,226,NA,NA,NA,NA,3357500,migratory,demersal,76,NA,5986072.754,0.491520221,4.49,NA,0.104122129,40.92840121,NA,0.104122129,40.92840121,-1,2,1,1,mid-high/mid
Oncorhynchus keta,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopteri,Osteichthyes,"Arctic Ocean, Atlantic, Pacific",Both,"nekton, plants, zoobenthos, zooplankton",generalist,4,23.7000007629395,subtropical,350,fusiform / normal,7,NA,NA,in close association with substrate,226,NA,NA,NA,NA,2395000,migratory,benthopelagic,100,NA,1232214.468,0.332235885,3.74,NA,0.231527057,60.55857144,NA,0.231527057,60.55857144,-1,3,3,3,mid/mid-high
Oncorhynchus kisutch,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopteri,Osteichthyes,"Arctic Ocean, Atlantic, Pacific",Both,"nekton, others, zoobenthos, zooplankton",generalist,3,24.7999992370605,subtropical,2331,fusiform / normal,5,829.4285714285714,14.007142857142856,in close association with substrate,226,NA,NA,NA,NA,2657500,migratory,pelagic oceanic,107.9499969,NA,180864.232,0.52822829,4.183103005,NA,0.183084354,35.21816654,NA,0.183084354,35.21816654,-1,2,1,1,mid-high/mid
Oncorhynchus masou,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopteri,Osteichthyes,Pacific,West,"nekton, others, zoobenthos, zooplankton",generalist,6,NA,subtropical,855,fusiform / normal,NA,NA,NA,in close association with substrate,226,NA,NA,NA,NA,1050000,migratory,benthopelagic,79,NA,11650.48361,0.488,3.641329272,NA,0.151100366,29.12949444,NA,0.151100366,29.12949444,-1,1,4,4,mid/low
Oncorhynchus nerka,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopteri,Osteichthyes,"Arctic Ocean, Indian Ocean, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,3,24.8999996185303,subtropical,1349,fusiform / normal,8,273.01440806451615,14.08279569892473,in close association with substrate,226,NA,NA,NA,NA,1905000,migratory,pelagic oceanic,84,NA,1750038.608,0.343342144,3.54,LC,0.228274024,50.14816212,NA,0.228274024,50.14816212,-1,2,1,1,mid-high/mid
Oncorhynchus tshawytscha,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopteri,Osteichthyes,"Arctic Ocean, Pacific",Both,"nekton, others, zoobenthos, zooplankton",generalist,4,24.8999996185303,subtropical,5186.5,fusiform / normal,9,172,16,in close association with substrate,226,NA,NA,NA,NA,2962500,migratory,benthopelagic,150,NA,78870.36652,0.491520221,4.4,NA,0.249369479,33.71337676,NA,0.249369479,33.71337676,-1,2,1,1,mid-high/mid
Ophiodon elongatus,Ophiodon,Ophiodontinae,Hexagrammidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,Pacific,East,"nekton, zoobenthos, zooplankton",generalist,10,NA,subtropical,220000,elongated,25,41.566874999999996,12.18125,planktonic,9,NA,NA,0.0019795,9,722500,migratory,demersal,152,lingcod,37899.04791,0.142917331,4.53,NA,0.074369631,44.06271512,NA,0.0019795,44.06271512,-3,2,1,8,mid-low/mid
Opisthonema libertate,Opisthonema,Dorosomatinae,Clupeidae,Clupeiformes,Actinopteri,Osteichthyes,Pacific,East,"plants, zooplankton",generalist,27,NA,subtropical,NA,elongated,NA,NA,NA,planktonic,188,NA,NA,NA,NA,520000,habitat_coastal,pelagic neritic,30,NA,579556.2461,0.701094271,2.978123494,LC,0.001137705,44.34066233,NA,0.001137705,44.34066233,-3,2,1,8,mid-low/mid
Opisthonema oglinum,Opisthonema,Dorosomatinae,Clupeidae,Clupeiformes,Actinopteri,Osteichthyes,Atlantic,West,"nekton, zoobenthos, zooplankton",generalist,25,NA,subtropical,NA,fusiform / normal,NA,NA,NA,planktonic,188,NA,NA,NA,NA,2765000,habitat_coastal,reef-associated,38,NA,38353.45049,1.026959074,4.5,LC,0.038555188,37.04247057,NA,0.038555188,37.04247057,-2,2,1,8,mid-low/mid
Orcynopsis unicolor,Orcynopsis,Scombrinae,Scombridae,Scombriformes,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,nekton,specialist,19,NA,subtropical,NA,fusiform / normal,NA,NA,NA,planktonic,54,NA,NA,NA,NA,2472500,hms,pelagic neritic,130,NA,3446.15792,0.596518223,4.482012652,LC,0.102251778,24.00178033,NA,0.102251778,24.00178033,-1,1,4,4,mid/low
Osmerus eperlanus,Osmerus,NA,Osmeridae,Osmeriformes,Actinopteri,Osteichthyes,"Atlantic, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,10,NA,subtropical,18062.5,elongated,10,NA,NA,planktonic,15,NA,NA,NA,NA,1180000,habitat_coastal,pelagic neritic,45,NA,203386.2059,0.094547828,3.510556337,LC,0.079589239,49.01246602,NA,0.079589239,49.01246602,-2,2,1,8,mid-low/mid
Osmerus mordax,Osmerus,NA,Osmeridae,Osmeriformes,Actinopteri,Osteichthyes,"Arctic Ocean, Atlantic, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,2,12.3,subtropical,24358.333333333332,elongated,7,NA,NA,planktonic,15,NA,NA,NA,NA,6640000,habitat_coastal,pelagic oceanic,35.59999847,NA,48591.9841,0.087755132,3,NA,0.003574455,55.81181939,NA,0.003574455,55.81181939,-3,2,1,8,mid-low/mid
Otolithes ruber,Otolithes,NA,Sciaenidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Indian Ocean, Pacific",Both,zoobenthos,specialist,27,3,tropical,NA,fusiform / normal,5,NA,NA,NA,293,NA,NA,NA,NA,8637500,habitat_coastal,benthopelagic,90,NA,75651.61394,0.865438668,3.6,NA,0.283989092,40.45348827,NA,0.283989092,40.45348827,-1,2,1,1,mid-high/mid
Pagellus acarne,Pagellus,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,"nekton, zoobenthos, zooplankton",generalist,19,NA,subtropical,228153.1,fusiform / normal,NA,NA,NA,planktonic,162,NA,NA,NA,NA,2185000,habitat_reef,benthopelagic,36,NA,12714.68568,0.47822275400000003,3.81,LC,0.003309774,28.37731053,NA,0.003309774,28.37731053,-3,1,4,4,mid/low
Pagellus bellottii,Pagellus,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,zoobenthos,specialist,25,NA,subtropical,173300,fusiform / normal,NA,NA,NA,NA,162,NA,NA,NA,NA,717500,habitat_reef,demersal,42,NA,22277.50752,0.677967137,3.641329272,LC,0.081422676,31.48790692,NA,0.081422676,31.48790692,-2,2,1,8,mid-low/mid
Pagellus bogaraveo,Pagellus,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,"nekton, plants, zoobenthos, zooplankton",generalist,18,NA,subtropical,316250,fusiform / normal,15,NA,NA,planktonic,162,NA,NA,NA,NA,2387500,habitat_reef,benthopelagic,70,NA,14240.12473,0.317996793,4.21,NT,0.067206017,36.75082099,NA,0.067206017,36.75082099,-2,2,1,8,mid-low/mid
